Reaction,Target_Nucleus,Target_Z,Target_N,Target_Mass_A,Projectile,Compound_Nucleus,Compound_A,Compound_Z,Neutron_Excess,Isospin_Tz,Reduced_Mass_mu,Coulomb_Barrier_MeV,Gamow_Peak_E0_MeV,Gamow_Window_dE0_MeV,Energy_c.m._MeV,Sommerfeld_eta,Gamow_Factor_Exp_2pi_eta,S_Factor_S_E_keV_b,Cross_Section_sigma_nb,S0_Experimental_keV_b,S0_Exp_Uncertainty,S0_Theoretical_EFT_keV_b,ML_Polynomial_Reg_S0,ML_Cubic_Spline_S0,ML_Power_Law_S0,PCA_Component_1,PCA_Component_2,tSNE_Component_1,tSNE_Component_2,Network_Degree_Centrality
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.0728,0.5689,2.8027e-02,20.7598,5.4236e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.102,0.5613,2.9396e-02,20.7588,5.5374e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.1313,0.554,3.0779e-02,20.7577,5.6475e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.1605,0.547,3.2166e-02,20.7566,5.7531e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.1897,0.5402,3.3560e-02,20.7555,5.8549e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.219,0.5337,3.4966e-02,20.7544,5.9533e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.2482,0.5274,3.6374e-02,20.7533,6.0477e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.2775,0.5213,3.7791e-02,20.7522,6.1389e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.3067,0.5155,3.9208e-02,20.7511,6.2264e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.336,0.5098,4.0633e-02,20.75,6.3109e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.3652,0.5043,4.2057e-02,20.7489,6.3920e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.3945,0.499,4.3488e-02,20.7478,6.4703e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.4237,0.4938,4.4917e-02,20.7467,6.5455e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.4529,0.4889,4.6347e-02,20.7456,6.6177e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.4822,0.484,4.7783e-02,20.7445,6.6875e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.5114,0.4793,4.9214e-02,20.7434,6.7545e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.5407,0.4747,5.0651e-02,20.7423,6.8191e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.5699,0.4703,5.2082e-02,20.7413,6.8810e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.5992,0.466,5.3518e-02,20.7402,6.9408e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.6284,0.4618,5.4948e-02,20.7391,6.9981e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.6576,0.4577,5.6377e-02,20.738,7.0532e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.6869,0.4537,5.7809e-02,20.7369,7.1064e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.7161,0.4498,5.9234e-02,20.7358,7.1573e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.7454,0.446,6.0662e-02,20.7347,7.2064e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.7746,0.4423,6.2083e-02,20.7336,7.2535e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.8039,0.4387,6.3506e-02,20.7325,7.2989e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.8331,0.4352,6.4922e-02,20.7314,7.3423e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.8624,0.4318,6.6339e-02,20.7303,7.3842e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.8916,0.4284,6.7748e-02,20.7292,7.4242e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.9208,0.4252,6.9154e-02,20.7281,7.4627e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.9501,0.422,7.0561e-02,20.727,7.4997e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.9793,0.4188,7.1960e-02,20.7259,7.5352e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.0086,0.4158,7.3360e-02,20.7248,7.5693e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.0378,0.4128,7.4751e-02,20.7238,7.6019e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.0671,0.4098,7.6142e-02,20.7227,7.6333e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.0963,0.407,7.7525e-02,20.7216,7.6632e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.1255,0.4042,7.8904e-02,20.7205,7.6920e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.1548,0.4014,8.0283e-02,20.7194,7.7196e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.184,0.3987,8.1653e-02,20.7183,7.7459e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.2133,0.3961,8.3022e-02,20.7172,7.7712e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.2425,0.3935,8.4383e-02,20.7161,7.7953e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.2718,0.3909,8.5744e-02,20.715,7.8184e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.301,0.3885,8.7095e-02,20.7139,7.8404e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.3303,0.386,8.8446e-02,20.7128,7.8615e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.3595,0.3836,8.9787e-02,20.7117,7.8815e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.3887,0.3813,9.1124e-02,20.7106,7.9007e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.418,0.3789,9.2460e-02,20.7095,7.9190e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.4472,0.3767,9.3787e-02,20.7085,7.9364e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.4765,0.3744,9.5113e-02,20.7074,7.9529e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.5057,0.3723,9.6430e-02,20.7063,7.9687e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.535,0.3701,9.7746e-02,20.7052,7.9836e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.5642,0.368,9.9053e-02,20.7041,7.9978e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.5934,0.3659,1.0035e-01,20.703,8.0112e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.6227,0.3639,1.0165e-01,20.7019,8.0240e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.6519,0.3618,1.0295e-01,20.7008,8.0360e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.6812,0.3599,1.0424e-01,20.6997,8.0474e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.7104,0.3579,1.0552e-01,20.6986,8.0581e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,2.7397,0.356,1.0680e-01,20.6975,8.0682e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
